record_id,source_type,language,vehicle_context,text,actual_label,model_prediction,sensitive_probability,annotator_lex,annotator_maya,annotator_rafael,sensitivity_category,edge_case_flag,gold_reason
R001,voice_transcript,en-US,parked,My SSN is 123-45-6789,SENSITIVE,SENSITIVE,0.81,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Direct SSN. Must be sensitive.
R002,voice_transcript,en-US,parked,Take me to Starbucks,NON_SENSITIVE,NON_SENSITIVE,0.07,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine navigation request.
R003,voice_transcript,en-US,parked,I'm gonna kill that guy (joking),SENSITIVE,SENSITIVE,0.88,SENSITIVE,SENSITIVE,NON_SENSITIVE,VIOLENCE_THREAT,Y,Threat language despite joke marker. Safety-first label.
R004,voice_transcript,en-US,manual_driving,This person used a racist slur in the message,SENSITIVE,SENSITIVE,0.89,SENSITIVE,SENSITIVE,SENSITIVE,HATE_HARASSMENT,Y,Contains hate harassment requiring restricted handling.
R005,ocr_text,en-US,manual_driving,The safe combination is 579856,SENSITIVE,SENSITIVE,0.89,SENSITIVE,SENSITIVE,SENSITIVE,CREDENTIAL,N,Contains credential requiring restricted handling.
R006,user_message_preview,en-US,charging,He said he has a gun in the trunk,SENSITIVE,SENSITIVE,0.93,SENSITIVE,SENSITIVE,SENSITIVE,VIOLENCE_THREAT,Y,Contains violence threat requiring restricted handling.
R007,voice_transcript,en-US,supervised_fsd,My credit card number is 4111 1111 1111 1771 and CVV is 981,SENSITIVE,NON_SENSITIVE,0.44,SENSITIVE,SENSITIVE,NON_SENSITIVE,PII,N,Contains pii requiring restricted handling.
R008,ocr_text,en-US,parked,The safe combination is 393077,SENSITIVE,NON_SENSITIVE,0.46,NON_SENSITIVE,SENSITIVE,SENSITIVE,CREDENTIAL,Y,Contains credential requiring restricted handling.
R009,voice_transcript,en-US,manual_driving,The safe combination is 682446,SENSITIVE,NON_SENSITIVE,0.43,SENSITIVE,SENSITIVE,SENSITIVE,CREDENTIAL,N,Contains credential requiring restricted handling.
R010,ocr_text,en-US,parked,"My home address is 9540 Bascom Blvd, Mountain View, CA",SENSITIVE,NON_SENSITIVE,0.37,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
